,area,endereco,quartos,banheiros,vagas,preco,condominio,amenidades,cidade,data_scraping
5406,118,"Campo Belo, São Paulo - SP",3 Quartos,3 Banheiros,3 Vagas,R$ 4.900 /mês,R$ 1.634,"Piscina
Elevador
Varanda
Academia
Jardim
...",São Paulo,"September 20, 2021 17:01"
5407,42,"Rua Tucuna, 913 - Perdizes, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 2.000 /mês,R$ 554,"Piscina
Elevador
Academia
Aceita animais
Jardim
...",São Paulo,"September 20, 2021 17:01"
5408,47,"Rua Martiniano de Carvalho, 1049 - Bela Vista, São Paulo - SP",2 Quartos,1 Banheiro,1 Vaga,R$ 2.900 /mês,R$ 845,"Piscina
Condomínio fechado
Academia
Aceita animais
Espaço gourmet
...",São Paulo,"September 20, 2021 17:01"
5409,64,"Rua Vergueiro, 819 - Liberdade, São Paulo - SP",2 Quartos,1 Banheiro,-- Vaga,R$ 1.600 /mês,R$ 480,"Circuito de segurança
Vigia
Elevador
Área de serviço",São Paulo,"September 20, 2021 17:01"
5410,70,"Rua Francisco Luiz de Souza Júnior, 350 - Água Branca, São Paulo - SP",2 Quartos,2 Banheiros,1 Vaga,"R$ 2.550 /mês
R$ 690.000",R$ 446,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Varanda
...",São Paulo,"September 20, 2021 17:01"
5411,120,"Consolação, São Paulo - SP",2 Quartos,1 Banheiro,-- Vaga,R$ 2.600 /mês,R$ 771,"Cozinha
Interfone
Área de serviço",São Paulo,"September 20, 2021 17:01"
5412,62,"Rua Costa Barros - Sítio Pinheirinho, São Paulo - SP",2 Quartos,1 Banheiro,1 Vaga,R$ 1.200 /mês,R$ 472,"Piscina
Condomínio fechado
Área de serviço
Playground
Quadra poliesportiva
...",São Paulo,"September 20, 2021 17:01"
5413,32,"Bela Vista, São Paulo - SP",1 Quarto,1 Banheiro,-- Vaga,R$ 1.000 /mês,R$ 331,,São Paulo,"September 20, 2021 17:01"
5414,120,"Rua João de Castelhanos - Santana, São Paulo - SP",4 Quartos,5 Banheiros,2 Vagas,"R$ 3.800 /mês
R$ 980.000",R$ 947,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Varanda
...",São Paulo,"September 20, 2021 17:01"
5415,74,"Avenida Mascote, 830 - Vila Mascote, São Paulo - SP",3 Quartos,2 Banheiros,1 Vaga,R$ 2.200 /mês,R$ 635,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...",São Paulo,"September 20, 2021 17:01"
5416,57,"Vila Andrade, São Paulo - SP",2 Quartos,1 Banheiro,1 Vaga,R$ 2.799 /mês,R$ 590,,São Paulo,"September 20, 2021 17:01"
5417,65,"Rua Major Quedinho - Bela Vista, São Paulo - SP",2 Quartos,2 Banheiros,1 Vaga,R$ 3.000 /mês,R$ 676,"Piscina
Churrasqueira
Elevador
Varanda
Área de serviço
...",São Paulo,"September 20, 2021 17:01"
5418,86,"Rua Ministro Gastão Mesquita, 725 - Perdizes, São Paulo - SP",3 Quartos,4 Banheiros,2 Vagas,R$ 3.700 /mês,R$ 1.089,"Piscina
Elevador
Academia
Área de serviço
Playground
...",São Paulo,"September 20, 2021 17:01"
5419,45,"Rua Professor Artur Ramos, 404 - Jardim Europa, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 2.500 /mês,R$ 1.400,"Piscina
Mobiliado
Quadra poliesportiva
Armário na cozinha
Interfone
...",São Paulo,"September 20, 2021 17:01"
5420,140,"Rua Professor João Arruda, 134 - Perdizes, São Paulo - SP",3 Quartos,3 Banheiros,1 Vaga,R$ 3.900 /mês,R$ 1.000,"Elevador
Condomínio fechado
Aceita animais
Jardim
Área de serviço
...",São Paulo,"September 20, 2021 17:01"
5421,54,"Rua Sousa Lima, 86 - Barra Funda, São Paulo - SP",2 Quartos,2 Banheiros,1 Vaga,R$ 2.700 /mês,R$ 580,"Piscina
Churrasqueira
Elevador
Academia
Espaço gourmet
...",São Paulo,"September 20, 2021 17:01"
5422,100,"Rua Hermínio Lemos, 196 - Cambuci, São Paulo - SP",3 Quartos,2 Banheiros,1 Vaga,"R$ 1.200 /mês
R$ 400.000",R$ 1.600,,São Paulo,"September 20, 2021 17:01"
5423,52,"Rua Benedito Faber - Super Quadra, São Paulo - SP",2 Quartos,2 Banheiros,1 Vaga,"R$ 1.800 /mês
R$ 450.000",R$ 490,"Piscina
Churrasqueira
Varanda
Área de serviço
Quadra poliesportiva
...",São Paulo,"September 20, 2021 17:01"
5424,68,"Chácara Klabin, São Paulo - SP",3 Quartos,2 Banheiros,1 Vaga,R$ 2.700 /mês,R$ 943,"Piscina
Churrasqueira
Varanda
Academia
Jardim
...",São Paulo,"September 20, 2021 17:01"
5425,239,"Rua Arizona, 1281 - Brooklin, São Paulo - SP",3 Quartos,6 Banheiros,4 Vagas,R$ 18.000 /mês,R$ 2.300,"Piscina
Churrasqueira
Espaço gourmet
Ar-condicionado
Varanda gourmet
...",São Paulo,"September 20, 2021 17:01"
5426,120,"Moema, São Paulo - SP",3 Quartos,4 Banheiros,2 Vagas,"R$ 6.900 /mês
R$ 1.380.000",R$ 1.900,"Piscina
Mobiliado
Churrasqueira
Varanda
Ar-condicionado
...",São Paulo,"September 20, 2021 17:01"
5427,170,"Rua Francisco Leitão - Pinheiros, São Paulo - SP",3 Quartos,5 Banheiros,3 Vagas,R$ 8.900 /mês,R$ 1.750,"Piscina
Elevador
Condomínio fechado
Academia
Aceita animais
...",São Paulo,"September 20, 2021 17:01"
5428,46,"Rua Major Quedinho - Consolação, São Paulo - SP",1 Quarto,2 Banheiros,1 Vaga,"R$ 2.350 /mês
R$ 600.000",R$ 741,"Piscina
Churrasqueira
Varanda
Quintal
Academia
...",São Paulo,"September 20, 2021 17:01"
5429,76,"Moema, São Paulo - SP",2 Quartos,2 Banheiros,1 Vaga,R$ 2.800 /mês,R$ 810,"Elevador
Academia
Jardim
Área de serviço
Playground
...",São Paulo,"September 20, 2021 17:01"
5430,40,"Rua São Miguel, 100 - Bela Vista, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 1.400 /mês,R$ 540,"Elevador
Condomínio fechado
Aceita animais
Jardim
Portaria 24h
...",São Paulo,"September 20, 2021 17:01"
5431,47,"Avenida Dória - Vila Alexandria, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 1.400 /mês,R$ 500,"Câmera de segurança
Conexão à internet",São Paulo,"September 20, 2021 17:01"
5432,92,"Avenida Paulista - Bela Vista, São Paulo - SP",2 Quartos,1 Banheiro,1 Vaga,R$ 4.500 /mês,R$ 1.000,"Elevador
Condomínio fechado
Aceita animais
Jardim
Portaria 24h
...",São Paulo,"September 20, 2021 17:01"
5433,40,"Praça Benedito Calixto, 186 - Pinheiros, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 1.900 /mês,R$ 650,"Vista exterior
Segurança 24h
Área de serviço",São Paulo,"September 20, 2021 17:01"
5434,96,"Alto da Lapa, São Paulo - SP",3 Quartos,2 Banheiros,2 Vagas,R$ 4.000 /mês,R$ 1.065,"Piscina
Elevador
Área de serviço
Playground
Salão de festas
...",São Paulo,"September 20, 2021 17:01"
5435,96,"Rua Bandeira Paulista, 127 - Itaim Bibi, São Paulo - SP",2 Quartos,2 Banheiros,1 Vaga,R$ 3.485 /mês,R$ 1.100,"Playground
Salão de festas
Área de serviço",São Paulo,"September 20, 2021 17:01"
5436,92,"Avenida Paulista - Bela Vista, São Paulo - SP",2 Quartos,1 Banheiro,1 Vaga,R$ 4.500 /mês,R$ 1.000,"Elevador
Condomínio fechado
Aceita animais
Jardim
Portaria 24h
...",São Paulo,"September 20, 2021 17:01"
5437,40,"Praça Benedito Calixto, 186 - Pinheiros, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 1.900 /mês,R$ 650,"Vista exterior
Segurança 24h
Área de serviço",São Paulo,"September 20, 2021 17:01"
5438,96,"Alto da Lapa, São Paulo - SP",3 Quartos,2 Banheiros,2 Vagas,R$ 4.000 /mês,R$ 1.065,"Piscina
Elevador
Área de serviço
Playground
Salão de festas
...",São Paulo,"September 20, 2021 17:01"
5439,96,"Rua Bandeira Paulista, 127 - Itaim Bibi, São Paulo - SP",2 Quartos,2 Banheiros,1 Vaga,R$ 3.485 /mês,R$ 1.100,"Playground
Salão de festas
Área de serviço",São Paulo,"September 20, 2021 17:01"
5440,75,"Avenida Padre Antônio José dos Santos, 530 - Brooklin, São Paulo - SP",2 Quartos,2 Banheiros,2 Vagas,R$ 3.300 /mês,R$ 1.041,"Piscina
Elevador
Condomínio fechado
Varanda
Academia
...",São Paulo,"September 20, 2021 17:01"
5441,38,"Rua Pangaré - Vila Butantã, São Paulo - SP",1 Quarto,1 Banheiro,-- Vaga,R$ 1.400 /mês,R$ 249,,São Paulo,"September 20, 2021 17:01"
5442,300,"Rua Caconde - Jardim Paulista, São Paulo - SP",4 Quartos,6 Banheiros,3 Vagas,R$ 11.000 /mês,R$ 3.900,"Piscina
Varanda
Academia
Ar-condicionado
Jardim
...",São Paulo,"September 20, 2021 17:01"
5443,68,"Vila Dos Remedios, São Paulo - SP",3 Quartos,1 Banheiro,1 Vaga,"R$ 1.800 /mês
R$ 369.000",R$ 450,"Piscina
Quadra poliesportiva
Salão de festas",São Paulo,"September 20, 2021 17:01"
5444,33,"Rua Machado de Assis - Vila Mariana, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 2.650 /mês,R$ 450,"Mobiliado
Academia
Jardim
Playground
Salão de festas
...",São Paulo,"September 20, 2021 17:01"
5445,46,"Avenida da Aclimação - Aclimação, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 1.800 /mês,R$ 501,"Academia
Elevador
Aceita animais",São Paulo,"September 20, 2021 17:01"
5446,70,"Rua Engenheiro Domício de L. Pacheco e Silva, 288 - Campo Grande, São Paulo - SP",2 Quartos,1 Banheiro,1 Vaga,R$ 1.223 /mês,R$ 577,"Academia
Jardim
Área de serviço
Playground
Salão de festas
...",São Paulo,"September 20, 2021 17:01"
5447,115,"Rua Pedro Pomponazzi, 789 - Vila Mariana, São Paulo - SP",3 Quartos,3 Banheiros,3 Vagas,R$ 3.500 /mês,R$ 1.600,"Piscina
Churrasqueira
Elevador
Academia
Garagem
...",São Paulo,"September 20, 2021 17:01"
5448,62,"Rua Leopoldo Couto Magalhães Júnior, 695 - Itaim Bibi, São Paulo - SP",1 Quarto,2 Banheiros,1 Vaga,R$ 6.500 /mês,R$ 1.600,"Piscina
Mobiliado
Elevador
Condomínio fechado
Varanda
...",São Paulo,"September 20, 2021 17:01"
5449,85,"Rua Guararapes - Brooklin, São Paulo - SP",2 Quartos,2 Banheiros,1 Vaga,R$ 2.500 /mês,R$ 840,"Elevador
Salão de festas
Armário na cozinha
Área de serviço",São Paulo,"September 20, 2021 17:01"
5450,225,"Alameda dos Guaramomis - Moema, São Paulo - SP",4 Quartos,5 Banheiros,4 Vagas,R$ 4.969 /mês,R$ 2.870,"Piscina
Elevador
Academia
Área de serviço
Salão de festas
...",São Paulo,"September 20, 2021 17:01"
5451,64,"Avenida Interlagos - Jardim Marajoara, São Paulo - SP",3 Quartos,1 Banheiro,1 Vaga,R$ 1.950 /mês,R$ 550,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Varanda
...",São Paulo,"September 20, 2021 17:01"
5452,59,"Rua Laboriosa - Vila Madalena, São Paulo - SP",1 Quarto,1 Banheiro,-- Vaga,R$ 2.600 /mês,R$ 471,"Interfone
Mobiliado
Armário na cozinha",São Paulo,"September 20, 2021 17:01"
5453,115,"Rua Almirante Calheiros, 396 - Tatuapé, São Paulo - SP",3 Quartos,4 Banheiros,3 Vagas,R$ 6.600 /mês,R$ 910,"Piscina
Mobiliado
Churrasqueira
Elevador
Condomínio fechado
...",São Paulo,"September 20, 2021 17:01"
5454,90,"Rua João Cachoeira, 250 - Itaim Bibi, São Paulo - SP",2 Quartos,3 Banheiros,1 Vaga,R$ 3.400 /mês,R$ 870,"Condomínio fechado
Playground
Salão de festas
Elevador",São Paulo,"September 20, 2021 17:01"
5455,100,"Rua Abdo Ambuba - Vila Andrade, São Paulo - SP",3 Quartos,2 Banheiros,2 Vagas,R$ 2.990 /mês,R$ 948,"Piscina
Churrasqueira
Elevador
Varanda
Varanda gourmet
...",São Paulo,"September 20, 2021 17:01"
5456,65,"Rua Cayowaá, 1742 - Sumaré, São Paulo - SP",2 Quartos,1 Banheiro,1 Vaga,R$ 2.200 /mês,R$ 738,"Elevador
Condomínio fechado
Aceita animais
Jardim
Playground
...",São Paulo,"September 20, 2021 17:01"
5457,42,"Rua dos Capitães Mores - Móoca, São Paulo - SP",1 Quarto,1 Banheiro,-- Vaga,R$ 1.100 /mês,R$ 40,"Condomínio fechado
Quintal
Área de serviço
Perto de vias de acesso
Próximo a escola
...",São Paulo,"September 20, 2021 17:01"
5458,108,"Butantã, São Paulo - SP",4 Quartos,2 Banheiros,2 Vagas,"R$ 2.800 /mês
R$ 659.700",R$ 838,"Piscina
Churrasqueira
Área de serviço
Armário na cozinha
Interfone
...",São Paulo,"September 20, 2021 17:01"
5459,120,"Rua André de Leão, 331 - Brás, São Paulo - SP",3 Quartos,2 Banheiros,-- Vaga,R$ 1.350 /mês,R$ 580,"Mobiliado
Elevador
Condomínio fechado
Aceita animais
Portaria 24h
...",São Paulo,"September 20, 2021 17:01"
5460,72,"Rua Machado Bitencourt - Vila Mariana, São Paulo - SP",2 Quartos,2 Banheiros,1 Vaga,R$ 3.700 /mês,,"Piscina
Quadra poliesportiva
Salão de festas
Elevador
Portaria 24h",São Paulo,"September 20, 2021 17:01"
5461,38,"Rua Waldemar Mancini, 268 - Itaquera, São Paulo - SP",2 Quartos,1 Banheiro,1 Vaga,R$ 1.600 /mês,R$ 100,"Elevador
Condomínio fechado
Jardim
Área de serviço
Salão de festas
...",São Paulo,"September 20, 2021 17:01"
5462,94,"Rua Baluarte - Vila Olímpia, São Paulo - SP",3 Quartos,2 Banheiros,1 Vaga,R$ 2.900 /mês,R$ 942,"Armário embutido
Lavabo
Piso laminado",São Paulo,"September 20, 2021 17:01"
5463,38,"Alameda Sarutaiá - Jardim Paulista, São Paulo - SP",1 Quarto,1 Banheiro,-- Vaga,R$ 1.350 /mês,R$ 500,"Portão eletrônico
Elevador
Condomínio fechado
Interfone
Aceita animais",São Paulo,"September 20, 2021 17:01"
5464,39,"Rua Paim - Bela Vista, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 2.300 /mês,R$ 450,"Varanda
Academia
Ar-condicionado
Jardim
Área de serviço
...",São Paulo,"September 20, 2021 17:01"
5465,45,"Rua Anésio João da Silva, 98 - Butantã, São Paulo - SP",2 Quartos,1 Banheiro,-- Vaga,"R$ 900 /mês
R$ 163.000",R$ 150,"Condomínio fechado
Salão de festas
Churrasqueira",São Paulo,"September 20, 2021 17:01"
5466,38,"Rua São Bernardo, 720 - Tatuapé, São Paulo - SP",2 Quartos,1 Banheiro,-- Vaga,R$ 2.250 /mês,R$ 280,"Mobiliado
Churrasqueira
Elevador
Condomínio fechado
Academia
...",São Paulo,"September 20, 2021 17:01"
5467,40,"Rua Raposo Tavares - Jardim das Acacias, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 1.700 /mês,R$ 612,Área de serviço,São Paulo,"September 20, 2021 17:01"
5468,50,"Rua Heitor Penteado, 2050 - Sumarezinho, São Paulo - SP",1 Quarto,1 Banheiro,-- Vaga,"R$ 1.900 /mês
R$ 495.000",R$ 611,Aceita animais,São Paulo,"September 20, 2021 17:01"
5469,30,"Rua Santa Isabel - Santa Cecília, São Paulo - SP",1 Quarto,1 Banheiro,-- Vaga,R$ 1.190 /mês,R$ 422,,São Paulo,"September 20, 2021 17:02"
5470,30,"Jardim Guedala, São Paulo - SP",1 Quarto,1 Banheiro,-- Vaga,R$ 1.400 /mês,R$ 200,,São Paulo,"September 20, 2021 17:02"
5471,92,"Rua Capitão Rabelo - Santana, São Paulo - SP",3 Quartos,2 Banheiros,1 Vaga,R$ 5.500 /mês,R$ 725,"Churrasqueira
Elevador
Academia
Espaço gourmet
Área de serviço
...",São Paulo,"September 20, 2021 17:02"
5472,41,"Rua Dias de Toledo - Saúde, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 2.100 /mês,R$ 589,"Piscina
Churrasqueira
Elevador
Academia
Espaço gourmet
...",São Paulo,"September 20, 2021 17:02"
5473,270,"Rua Princesa Isabel - Brooklin, São Paulo - SP",4 Quartos,4 Banheiros,4 Vagas,"R$ 8.000 /mês
R$ 2.300.000",R$ 3.500,"Piscina
Área de serviço
Salão de festas
Perto de vias de acesso
Próximo a escola
...",São Paulo,"September 20, 2021 17:02"
5474,123,"Rua João de Castelhanos, 64 - Água Fria, São Paulo - SP",3 Quartos,4 Banheiros,2 Vagas,"R$ 3.800 /mês
R$ 980.000",R$ 985,"Churrasqueira
Salão de festas",São Paulo,"September 20, 2021 17:02"
5475,201,"Rua Teixeira da Silva, 96 - Paraíso, São Paulo - SP",2 Quartos,3 Banheiros,-- Vaga,"R$ 5.000 /mês
R$ 1.350.000",R$ 919,Portaria 24h,São Paulo,"September 20, 2021 17:02"
5476,64,"Rua Diogo de Quadros, 340 - Chácara Santo Antônio, São Paulo - SP",2 Quartos,2 Banheiros,2 Vagas,R$ 4.100 /mês,R$ 685,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...",São Paulo,"September 20, 2021 17:02"
5477,60,"Rua Lino Coutinho - Ipiranga, São Paulo - SP",1 Quarto,1 Banheiro,-- Vaga,R$ 1.250 /mês,R$ 80,Lavanderia,São Paulo,"September 20, 2021 17:02"
5478,62,"Rua Vitória - Santa Ifigênia, São Paulo - SP",1 Quarto,1 Banheiro,-- Vaga,"R$ 1.500 /mês
R$ 270.000",R$ 326,"Elevador
Aceita animais
Portaria 24h
Interfone
Sistema de alarme
...",São Paulo,"September 20, 2021 17:02"
5479,57,"Conjunto Residencial José Bonifácio, São Paulo - SP",2 Quartos,1 Banheiro,1 Vaga,R$ 1.200 /mês,,"Armário na cozinha
Área de serviço",São Paulo,"September 20, 2021 17:02"
5480,50,"Rua Voluntários da Pátria, 3676 - Santana, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 1.500 /mês,R$ 541,"Mobiliado
Churrasqueira
Elevador
Condomínio fechado
Ar-condicionado
...",São Paulo,"September 20, 2021 17:02"
5481,143,"Moema, São Paulo - SP",2 Quartos,4 Banheiros,3 Vagas,R$ 9.000 /mês,R$ 2.992,"Mobiliado
Churrasqueira
Ar-condicionado
Área de serviço
Playground
...",São Paulo,"September 20, 2021 17:02"
5482,42,"Avenida Doutor Altino Arantes - Vila Clementino, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 2.800 /mês,R$ 645,"Piscina
Churrasqueira
Condomínio fechado
Academia
Ar-condicionado
...",São Paulo,"September 20, 2021 17:02"
5483,80,"Rua Doutor Nicolau Alberto Defina - Saúde, São Paulo - SP",2 Quartos,1 Banheiro,1 Vaga,"R$ 1.200 /mês
R$ 287.000",R$ 780,"Playground
Salão de festas
Armário embutido",São Paulo,"September 20, 2021 17:02"
5484,136,"Rua Estela - Vila Mariana, São Paulo - SP",3 Quartos,2 Banheiros,1 Vaga,"R$ 3.500 /mês
R$ 1.150.000",R$ 1.100,"Interfone
Área de serviço",São Paulo,"September 20, 2021 17:02"
5485,50,"Rua Rego Barros - Jardim Vila Formosa, São Paulo - SP",2 Quartos,1 Banheiro,1 Vaga,R$ 1.200 /mês,R$ 473,"Piscina
Churrasqueira
Varanda
Academia
Garagem
...",São Paulo,"September 20, 2021 17:02"
5486,263,"Jardim América, São Paulo - SP",4 Quartos,4 Banheiros,3 Vagas,"R$ 15.500 /mês
R$ 4.200.000",R$ 4.000,"Varanda
Ar-condicionado
Jardim
Área de serviço
Playground
...",São Paulo,"September 20, 2021 17:02"
5487,107,"Vila Olímpia, São Paulo - SP",2 Quartos,4 Banheiros,1 Vaga,"R$ 3.999 /mês
R$ 1.060.000",R$ 970,"Churrasqueira
Condomínio fechado
Academia
Jardim
Playground
...",São Paulo,"September 20, 2021 17:02"
5488,41,"Rua Flórida, 103 - Brooklin, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 3.250 /mês,R$ 650,"Piscina
Mobiliado
Churrasqueira
Elevador
Condomínio fechado
...",São Paulo,"September 20, 2021 17:02"
5489,95,"Vila Sofia, São Paulo - SP",3 Quartos,1 Banheiro,2 Vagas,R$ 3.000 /mês,R$ 933,,São Paulo,"September 20, 2021 17:02"
5490,55,"Rua Piauí, 305 - Higienópolis, São Paulo - SP",2 Quartos,1 Banheiro,1 Vaga,R$ 3.500 /mês,R$ 699,"Piscina
Churrasqueira
Academia
Aceita animais
Salão de festas
...",São Paulo,"September 20, 2021 17:02"
5491,65,"Vila Clementino, São Paulo - SP",2 Quartos,2 Banheiros,1 Vaga,R$ 3.500 /mês,R$ 980,"Segurança 24h
Piscina
Piscina infantil
Playground
Salão de festas",São Paulo,"September 20, 2021 17:02"
5492,42,"Vila Mariana, São Paulo - SP",1 Quarto,2 Banheiros,1 Vaga,"R$ 2.150 /mês
R$ 492.900",R$ 648,"Academia
Área de serviço
Playground
Salão de festas
Armário embutido
...",São Paulo,"September 20, 2021 17:02"
5493,49,"Rua Nicolau Barreto, 614 - Brooklin, São Paulo - SP",1 Quarto,2 Banheiros,1 Vaga,R$ 3.200 /mês,R$ 546,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...",São Paulo,"September 20, 2021 17:02"
5494,85,"Rua Nelson Gama de Oliveira - Vila Andrade, São Paulo - SP",2 Quartos,2 Banheiros,2 Vagas,"R$ 2.900 /mês
R$ 620.000",R$ 720,Elevador,São Paulo,"September 20, 2021 17:02"
5495,37,"Rua Luís Correia de Melo, 0 - Chácara Santo Antônio, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 2.100 /mês,R$ 540,"Piscina
Churrasqueira
Condomínio fechado
Academia
Espaço gourmet
...",São Paulo,"September 20, 2021 17:02"
5496,43,"Rua Vinte e Cinco de Janeiro, 151 - Luz, São Paulo - SP",2 Quartos,1 Banheiro,-- Vaga,R$ 1.600 /mês,R$ 364,"Playground
Salão de festas
Quadra poliesportiva
Armário embutido
Armário na cozinha
...",São Paulo,"September 20, 2021 17:02"
5497,65,"Rua Paula Ney - Vila Mariana, São Paulo - SP",2 Quartos,1 Banheiro,1 Vaga,R$ 1.870 /mês,R$ 832,"TV a cabo
Interfone
Armário na cozinha",São Paulo,"September 20, 2021 17:02"
5498,50,"Rua São Constâncio - Vila Formosa, São Paulo - SP",2 Quartos,1 Banheiro,1 Vaga,"R$ 2.300 /mês
R$ 400.000",R$ 166,"Condomínio fechado
Portão eletrônico
Mobiliado
Varanda gourmet",São Paulo,"September 20, 2021 17:02"
5499,66,"Rua Raul Pompéia, 1071 - Pompeia, São Paulo - SP",2 Quartos,2 Banheiros,2 Vagas,"R$ 3.800 /mês
R$ 970.000",R$ 1.000,"Piscina
Churrasqueira
Elevador
Academia
Espaço gourmet
...",São Paulo,"September 20, 2021 17:02"
5500,54,"Avenida João Paulo da Silva - Interlagos, São Paulo - SP",2 Quartos,1 Banheiro,1 Vaga,R$ 1.800 /mês,R$ 400,"Churrasqueira
Elevador
Condomínio fechado
Varanda
Quadra poliesportiva
...",São Paulo,"September 20, 2021 17:02"
5501,45,"Rua Fagundes, 122 - Liberdade, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 1.500 /mês,R$ 420,"Condomínio fechado
Elevador",São Paulo,"September 20, 2021 17:02"
5502,32,"Rua Padre Carvalho - Pinheiros, São Paulo - SP",1 Quarto,1 Banheiro,-- Vaga,"R$ 4.000 /mês
R$ 440.000",R$ 150,"Mobiliado
Aceita animais",São Paulo,"September 20, 2021 17:02"
5503,72,"Brooklin, São Paulo - SP",1 Quarto,2 Banheiros,1 Vaga,R$ 5.000 /mês,R$ 860,"Piscina
Churrasqueira
Academia
Espaço gourmet
Ar-condicionado
...",São Paulo,"September 20, 2021 17:02"
5504,301,"Jardim Paulista, São Paulo - SP",3 Quartos,5 Banheiros,3 Vagas,"R$ 19.000 /mês
R$ 4.200.000",R$ 8.260,"Elevador
Varanda
Academia
Garagem
Ar-condicionado
...",São Paulo,"September 20, 2021 17:02"
5505,212,"Rua Américo Alves Pereira Filho, 147 - Real Parque, São Paulo - SP",4 Quartos,5 Banheiros,4 Vagas,"R$ 4.000 /mês
R$ 1.200.000",R$ 1.800,"Piscina
Elevador
Condomínio fechado
Academia
Jardim
...",São Paulo,"September 20, 2021 17:02"
5506,60,"Jardim São Paulo, São Paulo - SP",2 Quartos,1 Banheiro,1 Vaga,"R$ 1.700 /mês
R$ 375.000",R$ 605,"Cozinha
Elevador
Interfone
Área de serviço",São Paulo,"September 20, 2021 17:02"
5507,95,"Alameda Jauaperi, 1120 - Moema, São Paulo - SP",3 Quartos,2 Banheiros,-- Vaga,R$ 3.200 /mês,R$ 1.150,"Salão de festas
Elevador
Piscina
Portão eletrônico
Portaria 24h",São Paulo,"September 20, 2021 17:02"
5508,72,"Brooklin, São Paulo - SP",1 Quarto,2 Banheiros,1 Vaga,R$ 5.000 /mês,R$ 860,"Piscina
Churrasqueira
Academia
Espaço gourmet
Ar-condicionado
...",São Paulo,"September 20, 2021 17:02"
5509,301,"Jardim Paulista, São Paulo - SP",3 Quartos,5 Banheiros,3 Vagas,"R$ 19.000 /mês
R$ 4.200.000",R$ 8.260,"Elevador
Varanda
Academia
Garagem
Ar-condicionado
...",São Paulo,"September 20, 2021 17:02"
5510,212,"Rua Américo Alves Pereira Filho, 147 - Real Parque, São Paulo - SP",4 Quartos,5 Banheiros,4 Vagas,"R$ 4.000 /mês
R$ 1.200.000",R$ 1.800,"Piscina
Elevador
Condomínio fechado
Academia
Jardim
...",São Paulo,"September 20, 2021 17:02"
5511,60,"Jardim São Paulo, São Paulo - SP",2 Quartos,1 Banheiro,1 Vaga,"R$ 1.700 /mês
R$ 375.000",R$ 605,"Cozinha
Elevador
Interfone
Área de serviço",São Paulo,"September 20, 2021 17:02"
5512,95,"Alameda Jauaperi, 1120 - Moema, São Paulo - SP",3 Quartos,2 Banheiros,-- Vaga,R$ 3.200 /mês,R$ 1.150,"Salão de festas
Elevador
Piscina
Portão eletrônico
Portaria 24h",São Paulo,"September 20, 2021 17:02"
5513,70,"Rua Cristiano Viana - Cerqueira César, São Paulo - SP",2 Quartos,2 Banheiros,1 Vaga,R$ 3.800 /mês,R$ 793,"Piscina
Churrasqueira
Academia
Ar-condicionado
Salão de festas
...",São Paulo,"September 20, 2021 17:02"
5514,86,"Avenida Lins de Vasconcelos - Cambuci, São Paulo - SP",2 Quartos,3 Banheiros,2 Vagas,R$ 2.900 /mês,R$ 885,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...",São Paulo,"September 20, 2021 17:02"
5515,54,"Avenida Giovanni Gronchi, 6675 - Jardim Sul, São Paulo - SP",2 Quartos,1 Banheiro,2 Vagas,R$ 1.200 /mês,R$ 840,"Piscina
Churrasqueira
Condomínio fechado
Academia
Aceita animais
...",São Paulo,"September 20, 2021 17:02"
5516,50,"Rua Aquiles Jovane - Jardim Celeste, São Paulo - SP",2 Quartos,1 Banheiro,1 Vaga,R$ 950 /mês,R$ 563,,São Paulo,"September 20, 2021 17:02"
5517,43,"Rua Barata Ribeiro - Bela Vista, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 2.800 /mês,,"Piscina
Mobiliado
Elevador
Condomínio fechado
Academia
...",São Paulo,"September 20, 2021 17:02"
